,n_teams,record_bytes,median_r,mean_r,std_r,item_total_corr,n_at_record,a,b1,b2,b3,b4,b4_minus_b1,info_mean,info_high,difficulty_rank,tier,core100
task361,36,185.0,0.837,0.806,0.174,0.659,1,3.509,-1.461,-1.296,0.732,1.548,3.009,2.534,2.491,200,T3,False
task089,33,232.0,0.714,0.704,0.189,0.93,1,3.398,-1.087,-0.37,0.896,1.544,2.631,2.46,2.682,202,T3,False
task115,40,51.0,0.685,0.635,0.22,0.867,2,2.579,-0.533,0.032,1.293,1.543,2.076,1.845,2.322,203,T3,False
task123,38,71.0,0.922,0.778,0.229,0.906,3,2.415,-0.905,-0.552,-0.159,1.537,2.442,1.727,1.181,204,T3,False
task218,37,56.0,0.737,0.638,0.293,0.929,3,3.779,-0.434,-0.165,0.673,1.527,1.961,2.743,2.655,205,T3,False
task335,38,105.0,0.609,0.667,0.173,0.908,1,4.291,-2.19,0.085,1.021,1.52,3.71,3.067,3.866,206,T3,True
task200,39,84.0,0.656,0.662,0.215,0.923,3,3.464,-0.709,-0.031,0.864,1.52,2.229,2.51,2.763,206,T3,False
task076,33,258.0,0.725,0.709,0.183,0.89,1,3.428,-1.301,-0.042,0.897,1.516,2.817,2.481,2.767,208,T3,False
task158,34,260.0,0.8,0.8,0.146,0.657,1,4.21,-1.528,-1.342,0.988,1.507,3.035,3.059,3.618,209,T3,False
task377,38,55.0,0.809,0.69,0.281,0.751,5,2.797,-0.66,-0.446,0.642,1.504,2.164,2.017,1.872,210,T3,False
task137,36,137.0,0.848,0.742,0.243,0.904,1,3.852,-0.887,-0.598,0.12,1.501,2.388,2.798,1.977,211,T3,False
task243,39,75.0,0.833,0.696,0.26,0.899,4,4.143,-0.437,-0.055,0.287,1.488,1.925,3.013,2.295,212,T3,False
task246,38,104.0,0.621,0.66,0.183,0.919,1,4.833,-1.765,-0.015,1.013,1.487,3.252,3.523,4.402,213,T3,True
task167,40,70.0,0.824,0.767,0.159,0.881,1,3.865,-2.238,-0.637,0.263,1.48,3.718,2.729,2.065,214,T3,False
task088,39,95.0,0.638,0.623,0.24,0.96,1,4.722,-0.553,0.064,0.808,1.479,2.032,3.444,3.754,215,T3,False
task104,39,84.0,0.656,0.685,0.22,0.921,3,4.443,-1.154,-0.018,0.636,1.476,2.63,3.234,3.01,216,T3,False
task302,38,89.0,0.569,0.58,0.261,0.914,2,3.597,-0.486,0.418,1.256,1.474,1.96,2.608,3.645,217,T3,False
task144,45,53.0,0.841,0.811,0.108,0.901,4,4.297,-2.228,-1.285,0.24,1.474,3.702,3.051,2.258,217,T3,False
task184,37,91.0,0.545,0.594,0.254,0.953,2,4.727,-0.256,0.318,0.966,1.473,1.729,3.438,4.377,219,T3,True
task395,41,53.0,0.841,0.794,0.151,0.858,4,4.376,-2.161,-0.934,0.172,1.468,3.629,3.134,2.252,220,T3,False
task390,35,98.0,0.737,0.622,0.27,0.904,2,2.898,-0.353,0.071,0.965,1.462,1.815,2.092,2.429,221,T3,False
task236,41,54.0,0.831,0.736,0.211,0.89,4,4.572,-0.897,-0.739,0.288,1.459,2.356,3.319,2.434,222,T3,False
task204,36,93.0,0.574,0.59,0.273,0.942,3,4.727,-0.282,0.616,0.858,1.457,1.739,3.435,4.612,223,T3,True
task374,35,103.0,0.495,0.598,0.253,0.875,1,3.174,-0.036,0.246,1.128,1.454,1.49,2.297,3.011,224,T3,False
task124,35,95.0,0.76,0.667,0.262,0.949,1,4.705,-0.507,-0.03,0.469,1.45,1.957,3.444,2.782,225,T3,False
task318,43,54.0,0.844,0.817,0.12,0.919,4,4.669,-2.152,-1.164,0.094,1.449,3.601,3.355,2.359,226,T3,False
task037,37,101.0,0.639,0.65,0.223,0.967,1,4.845,-0.693,0.028,0.67,1.443,2.136,3.526,3.361,227,T3,False
task110,36,83.0,0.419,0.53,0.251,0.877,1,3.82,0.274,0.808,1.216,1.441,1.167,2.77,4.752,228,T3,True
task369,37,109.0,0.522,0.621,0.229,0.958,3,5.035,-0.546,0.309,1.019,1.439,1.985,3.681,4.784,229,T3,True
task227,42,52.0,0.825,0.82,0.099,0.882,4,3.175,-2.693,-2.327,0.207,1.434,4.127,1.927,1.64,230,T3,False
task080,33,231.0,0.794,0.723,0.195,0.893,1,2.959,-1.348,-0.075,0.635,1.433,2.781,2.133,2.008,231,T3,False
task109,38,77.0,0.798,0.706,0.213,0.919,1,3.477,-0.916,-0.504,1.049,1.426,2.342,2.522,2.915,232,T3,False
task074,37,77.0,0.597,0.598,0.256,0.854,3,3.229,-0.616,0.2,1.029,1.423,2.039,2.339,2.839,233,T3,False
task057,43,48.0,0.814,0.742,0.213,0.812,2,3.272,-0.934,-0.545,0.088,1.419,2.353,2.371,1.647,234,T3,False
task031,45,45.0,0.9,0.735,0.254,0.776,4,3.208,-0.791,-0.578,-0.202,1.418,2.209,2.324,1.525,235,T3,False
task289,39,63.0,0.759,0.766,0.124,0.894,4,3.507,-2.296,-1.2,0.789,1.418,3.714,2.441,2.541,235,T3,False
task159,34,103.0,0.54,0.576,0.237,0.903,1,3.55,-0.326,0.703,1.117,1.417,1.743,2.574,3.88,237,T3,True
task338,37,62.0,0.496,0.551,0.276,0.931,1,4.174,-0.027,0.588,1.131,1.416,1.443,3.036,4.481,238,T3,True
task154,34,96.0,0.754,0.665,0.253,0.819,1,2.11,-0.841,0.044,0.81,1.407,2.248,1.499,1.557,239,T3,False
task042,35,132.0,0.502,0.583,0.238,0.89,1,3.486,-0.191,0.605,1.099,1.407,1.598,2.528,3.642,239,T3,False
task235,40,61.0,0.847,0.856,0.076,0.896,2,3.414,-2.661,-2.294,0.216,1.401,4.062,2.116,1.759,241,T2,False
task160,35,100.0,0.73,0.68,0.207,0.954,1,3.901,-1.164,0.085,1.05,1.401,2.565,2.833,3.46,241,T2,True
task219,32,241.0,0.743,0.688,0.242,0.857,2,3.275,-0.868,-0.494,0.981,1.4,2.268,2.373,2.618,243,T2,True
task345,39,89.0,0.679,0.725,0.167,0.927,1,3.389,-2.311,-0.205,0.679,1.395,3.706,2.352,2.317,244,T2,False
task383,33,120.0,0.504,0.616,0.278,0.938,1,3.553,-0.408,0.264,0.744,1.386,1.794,2.578,2.76,245,T2,True
task306,37,63.0,0.636,0.583,0.271,0.945,3,4.384,-0.506,0.436,1.102,1.377,1.883,3.193,4.331,246,T2,True
task286,35,104.0,0.782,0.66,0.268,0.951,1,3.7,-0.123,0.026,0.632,1.373,1.496,2.688,2.566,247,T2,False
task357,37,81.0,0.794,0.732,0.205,0.924,1,2.541,-2.092,-0.493,0.44,1.37,3.462,1.763,1.462,248,T2,False
task352,38,82.0,0.714,0.65,0.24,0.947,3,4.231,-0.622,-0.153,0.871,1.359,1.981,3.074,3.379,249,T2,True
task206,36,139.0,0.783,0.72,0.228,0.926,1,3.744,-1.074,-0.256,0.33,1.358,2.432,2.718,2.04,250,T2,False
task324,33,216.0,0.653,0.679,0.214,0.869,1,2.655,-1.078,0.061,0.927,1.353,2.431,1.91,2.081,251,T2,False
task021,44,51.0,0.667,0.692,0.193,0.797,2,5.074,-1.316,-0.196,0.938,1.338,2.654,3.675,4.375,252,T2,True
task190,37,103.0,0.477,0.611,0.259,0.926,1,4.632,-0.165,0.291,0.724,1.332,1.497,3.352,3.487,253,T2,True
task051,38,111.0,0.583,0.624,0.245,0.952,1,4.488,-0.507,0.224,0.861,1.328,1.835,3.26,3.707,254,T2,True
task177,44,51.0,0.864,0.723,0.274,0.893,4,4.372,-0.672,-0.445,-0.057,1.324,1.996,3.18,2.103,255,T2,False
task332,42,58.0,0.817,0.773,0.161,0.931,3,4.527,-2.161,-0.725,0.253,1.315,3.476,3.232,2.3,256,T2,False
task215,42,42.0,0.832,0.732,0.2,0.902,3,3.119,-2.365,-0.331,0.129,1.313,3.678,2.136,1.558,257,T2,False
task178,43,47.0,0.691,0.637,0.282,0.862,6,3.511,-0.71,-0.168,0.734,1.3,2.01,2.548,2.46,258,T2,False
task344,37,74.0,0.617,0.668,0.272,0.934,1,4.906,-0.297,0.082,0.272,1.296,1.593,3.548,2.561,259,T2,False
task168,34,110.0,0.561,0.651,0.242,0.938,2,5.135,-0.456,0.388,0.686,1.294,1.75,3.727,3.726,260,T2,True
task239,39,99.0,0.868,0.748,0.2,0.926,2,4.939,-2.121,-0.632,-0.043,1.29,3.411,3.56,2.355,261,T2,False
task384,40,61.0,0.693,0.646,0.269,0.956,1,5.422,-0.646,-0.364,0.545,1.286,1.932,3.934,3.134,262,T2,True
task028,43,63.0,0.741,0.699,0.194,0.927,3,3.491,-2.298,-0.199,0.799,1.285,3.583,2.433,2.527,263,T2,False
task256,39,93.0,0.756,0.726,0.176,0.958,1,6.01,-2.05,-0.375,0.702,1.268,3.318,4.319,3.991,264,T2,True
task016,46,43.0,0.869,0.857,0.094,0.793,5,2.418,-2.895,-2.535,-0.302,1.263,4.158,1.325,0.998,265,T2,False
task269,41,63.0,0.724,0.747,0.139,0.911,4,4.117,-2.201,-0.401,0.795,1.263,3.464,2.926,3.004,265,T2,True
task199,37,77.0,0.653,0.695,0.214,0.921,3,2.49,-2.539,-0.062,0.535,1.257,3.796,1.632,1.539,267,T2,False
task362,37,67.0,0.744,0.695,0.232,0.929,2,3.86,-1.064,-0.204,0.604,1.25,2.314,2.804,2.42,268,T2,False
task328,36,158.0,0.903,0.904,0.089,0.604,1,3.526,-2.282,-1.606,-1.409,1.249,3.531,2.451,1.518,269,T2,False
task228,38,116.0,0.598,0.655,0.208,0.913,3,3.972,-1.08,0.277,0.789,1.246,2.326,2.883,3.075,270,T2,True
task291,41,59.0,0.702,0.692,0.205,0.877,1,3.119,-1.362,-0.095,0.902,1.218,2.58,2.255,2.334,271,T2,False
task300,41,87.0,0.829,0.72,0.239,0.904,4,2.965,-1.252,-0.311,0.189,1.203,2.455,2.145,1.458,272,T2,False
task063,39,74.0,0.733,0.691,0.241,0.948,1,4.454,-1.005,-0.299,0.273,1.19,2.195,3.232,2.201,273,T2,False
task151,40,100.0,0.81,0.831,0.088,0.867,1,3.118,-2.721,-2.356,0.433,1.189,3.91,1.871,1.654,274,T2,False
task313,40,61.0,0.735,0.661,0.284,0.933,1,5.237,-0.654,-0.403,0.316,1.182,1.836,3.788,2.595,275,T2,False
task367,32,126.0,0.492,0.579,0.309,0.9,2,2.553,-0.207,0.654,0.796,1.165,1.372,1.843,2.253,276,T2,False
task354,39,92.0,0.76,0.662,0.238,0.951,2,5.838,-0.393,-0.005,0.538,1.165,1.558,4.3,3.26,276,T2,True
task166,41,61.0,0.871,0.687,0.3,0.913,2,3.603,-0.506,-0.383,-0.091,1.153,1.659,2.619,1.597,278,T2,False
task213,37,86.0,0.672,0.633,0.272,0.958,1,3.817,-0.395,0.102,0.697,1.142,1.537,2.774,2.584,279,T2,False
task093,35,98.0,0.587,0.659,0.27,0.963,3,4.547,-0.407,0.183,0.623,1.123,1.53,3.305,2.883,280,T2,True
task305,40,56.0,0.875,0.714,0.275,0.831,1,2.619,-0.861,-0.673,-0.196,1.122,1.983,1.893,1.085,281,T2,False
task247,35,92.0,0.86,0.754,0.221,0.924,1,4.182,-1.412,-0.404,0.089,1.119,2.531,3.042,1.88,282,T2,False
task244,38,61.0,0.709,0.659,0.281,0.933,1,4.157,-0.678,-0.28,0.4,1.117,1.795,3.02,2.127,283,T2,False
task030,38,93.0,0.55,0.645,0.235,0.93,3,3.734,-0.393,0.343,0.944,1.101,1.494,2.714,3.109,284,T2,True
task119,34,102.0,0.492,0.585,0.305,0.903,4,3.328,-0.084,0.452,0.66,1.09,1.174,2.417,2.49,285,T2,False
task161,37,79.0,0.752,0.663,0.292,0.888,1,3.607,-0.306,0.013,0.417,1.085,1.391,2.623,1.942,286,T2,False
task100,35,85.0,0.85,0.744,0.211,0.925,1,3.929,-1.337,-0.438,0.041,1.055,2.392,2.857,1.66,287,T2,False
task232,42,57.0,0.75,0.686,0.212,0.936,1,4.166,-0.871,-0.071,0.785,1.053,1.924,3.03,2.851,288,T2,True
task321,43,54.0,0.844,0.736,0.242,0.898,3,3.998,-0.803,-0.488,0.111,1.048,1.851,2.908,1.712,289,T2,False
task234,36,106.0,0.898,0.799,0.253,0.655,1,2.073,-1.17,-0.88,-0.607,1.048,2.218,1.472,0.754,289,T2,False
task128,40,57.0,0.776,0.66,0.299,0.963,1,4.475,-0.505,-0.232,0.294,1.044,1.549,3.255,2.074,291,T2,False
task049,41,81.0,0.81,0.704,0.28,0.949,7,4.151,-0.649,-0.386,0.331,1.044,1.693,3.019,1.944,291,T2,False
task214,39,61.0,0.813,0.723,0.229,0.909,1,5.818,-0.867,-0.528,0.623,1.041,1.908,4.288,3.45,293,T2,True
task270,34,115.0,0.639,0.705,0.225,0.946,2,4.806,-1.367,0.161,0.54,1.039,2.406,3.504,2.689,294,T2,True
task217,39,95.0,0.872,0.756,0.199,0.939,3,4.986,-2.117,-0.574,-0.022,1.015,3.132,3.625,2.11,295,T2,False
task294,40,70.0,0.651,0.717,0.217,0.86,9,3.216,-1.215,-0.109,0.399,0.99,2.205,2.333,1.575,296,T2,False
task056,43,39.0,0.765,0.75,0.191,0.868,1,3.733,-1.441,-0.754,0.428,0.989,2.43,2.711,1.76,297,T2,False
task295,40,54.0,0.837,0.745,0.226,0.908,9,4.008,-1.328,-0.393,0.237,0.986,2.314,2.911,1.701,298,T2,False
task298,41,54.0,0.75,0.737,0.211,0.934,1,4.207,-2.196,-0.167,0.203,0.968,3.164,2.997,1.753,299,T2,False
task267,43,46.0,0.793,0.791,0.136,0.904,8,4.624,-2.15,-0.482,0.646,0.967,3.117,3.329,2.61,300,T2,False
task237,38,66.0,0.795,0.694,0.265,0.94,3,4.542,-0.477,-0.209,0.459,0.944,1.421,3.311,2.124,301,T2,False
task320,39,65.0,0.714,0.699,0.236,0.933,1,3.691,-0.769,-0.25,0.521,0.942,1.711,2.683,1.834,302,T2,False
task331,38,82.0,0.603,0.681,0.249,0.951,2,5.151,-0.705,0.097,0.432,0.933,1.638,3.757,2.379,303,T2,False
task091,39,62.0,0.517,0.602,0.261,0.884,3,3.376,-0.742,0.45,0.729,0.929,1.671,2.452,2.353,304,T2,False
task288,34,86.0,0.853,0.83,0.153,0.767,4,1.894,-2.075,-1.503,0.147,0.91,2.985,1.261,0.754,305,T2,False
task225,34,123.0,0.728,0.727,0.219,0.943,3,3.916,-2.047,-0.085,0.382,0.892,2.939,2.812,1.673,306,T2,False
task175,34,74.0,0.813,0.712,0.257,0.941,1,3.526,-0.437,-0.19,0.455,0.89,1.327,2.564,1.623,307,T2,False
task171,43,51.0,0.773,0.756,0.193,0.878,9,4.072,-1.638,-0.626,0.669,0.883,2.521,2.953,2.153,308,T2,False
task121,38,85.0,0.787,0.692,0.267,0.945,2,3.768,-0.508,-0.214,0.397,0.882,1.39,2.74,1.612,309,T2,False
task386,44,50.0,0.877,0.794,0.222,0.803,3,4.406,-1.078,-0.861,-0.648,0.881,1.959,3.204,1.457,310,T2,False
task221,35,86.0,0.843,0.768,0.201,0.908,2,3.54,-1.67,-0.384,0.219,0.867,2.537,2.561,1.32,311,T2,False
task126,44,54.0,0.832,0.682,0.299,0.896,9,3.117,-0.653,-0.184,0.037,0.865,1.518,2.264,1.154,312,T2,False
task259,39,83.0,0.58,0.652,0.247,0.94,2,4.614,-0.537,0.296,0.744,0.864,1.401,3.35,2.841,313,T2,True
task007,43,62.0,0.861,0.738,0.217,0.818,2,2.838,-1.173,-0.325,-0.047,0.841,2.014,2.055,0.989,314,T2,False
task293,40,59.0,0.69,0.714,0.23,0.91,1,4.224,-1.259,-0.106,0.305,0.818,2.077,3.065,1.516,315,T2,False
task186,43,60.0,0.845,0.786,0.175,0.915,5,4.245,-2.189,-0.603,0.106,0.807,2.996,3.028,1.319,316,T2,False
task347,43,50.0,0.893,0.796,0.232,0.861,11,4.489,-0.868,-0.758,-0.49,0.807,1.675,3.26,1.292,316,T2,False
task389,42,57.0,0.905,0.794,0.214,0.846,9,3.173,-0.963,-0.667,-0.27,0.805,1.768,2.304,0.94,318,T2,False
task026,44,50.0,0.877,0.901,0.058,0.68,4,4.181,-2.563,-2.193,-1.096,0.734,3.297,2.755,1.003,319,T2,False
task351,39,66.0,0.805,0.678,0.315,0.914,1,3.502,-0.589,-0.404,0.479,0.715,1.304,2.546,1.322,320,T2,False
task006,46,49.0,0.925,0.902,0.083,0.708,4,3.797,-2.616,-2.247,-1.221,0.665,3.281,2.425,0.783,321,T1_easiest,True
task075,39,86.0,0.789,0.739,0.233,0.94,11,4.038,-0.945,-0.549,0.164,0.663,1.608,2.937,0.974,322,T1_easiest,True
task400,40,66.0,0.81,0.693,0.312,0.917,1,4.05,-0.676,-0.486,0.368,0.661,1.337,2.945,1.148,323,T1_easiest,True
task060,45,47.0,0.887,0.839,0.184,0.803,6,5.033,-1.552,-1.326,-0.351,0.647,2.199,3.654,0.882,324,T1_easiest,True
task039,42,60.0,0.811,0.708,0.283,0.922,5,3.754,-0.745,-0.489,0.235,0.622,1.367,2.729,0.933,325,T1_easiest,True
task299,40,54.0,0.794,0.716,0.297,0.934,13,3.169,-0.498,-0.282,0.284,0.6,1.098,2.303,0.952,326,T1_easiest,True
task203,38,64.0,0.889,0.775,0.232,0.918,8,3.354,-0.908,-0.573,-0.044,0.587,1.495,2.438,0.722,327,T1_easiest,True
task024,43,62.0,0.899,0.745,0.256,0.899,10,4.398,-0.623,-0.408,-0.192,0.576,1.199,3.199,0.696,328,T1_easiest,True
task316,40,71.0,0.893,0.776,0.226,0.901,13,3.772,-2.253,-0.609,-0.166,0.551,2.804,2.66,0.639,329,T1_easiest,True
task111,42,60.0,0.745,0.769,0.173,0.878,5,3.962,-2.227,-0.19,0.439,0.551,2.778,2.81,1.038,329,T1_easiest,True
task043,43,56.0,0.889,0.765,0.237,0.909,4,3.634,-1.203,-0.644,0.008,0.529,1.732,2.641,0.65,331,T1_easiest,True
task047,43,55.0,0.797,0.711,0.297,0.925,9,3.841,-0.6,-0.409,0.212,0.512,1.112,2.794,0.74,332,T1_easiest,True
task303,42,62.0,0.873,0.732,0.26,0.891,1,4.605,-0.793,-0.457,-0.11,0.496,1.289,3.356,0.532,333,T1_easiest,True
task399,42,62.0,0.912,0.727,0.287,0.861,1,3.133,-0.576,-0.399,-0.022,0.488,1.064,2.277,0.64,334,T1_easiest,True
task262,43,39.0,0.929,0.921,0.062,0.877,11,3.366,-2.662,-2.294,-0.496,0.428,3.09,2.088,0.427,335,T1_easiest,True
task376,44,30.0,0.909,0.934,0.093,0.323,17,1.806,-2.854,-2.602,-2.351,0.407,3.261,0.88,0.308,336,T1_easiest,False
task297,43,43.0,0.915,0.821,0.206,0.863,15,3.92,-1.36,-0.674,-0.384,0.391,1.751,2.847,0.378,337,T1_easiest,False
task181,43,67.0,0.87,0.842,0.138,0.912,8,3.026,-2.736,-2.371,-0.064,0.356,3.092,1.804,0.446,338,T1_easiest,True
task261,44,47.0,0.94,0.858,0.169,0.853,16,3.221,-2.351,-0.896,-0.29,0.352,2.703,2.221,0.388,339,T1_easiest,True
task146,42,58.0,0.829,0.776,0.239,0.886,13,2.958,-0.889,-0.503,0.066,0.342,1.231,2.148,0.53,340,T1_easiest,True
task373,43,38.0,0.826,0.78,0.2,0.91,8,3.515,-2.291,-0.523,0.085,0.306,2.597,2.458,0.44,341,T1_easiest,True
task388,42,61.0,0.91,0.757,0.271,0.892,4,4.153,-0.906,-0.557,-0.182,0.288,1.194,3.019,0.28,342,T1_easiest,False
task242,42,54.0,0.818,0.711,0.329,0.895,17,3.428,-0.617,-0.389,0.131,0.286,0.903,2.492,0.481,343,T1_easiest,True
task375,44,53.0,0.862,0.897,0.105,0.619,18,2.571,-2.502,-1.839,-0.31,0.217,2.719,1.67,0.326,344,T1_easiest,False
task078,44,59.0,0.881,0.77,0.223,0.867,1,4.206,-1.287,-0.551,-0.12,0.211,1.498,3.055,0.223,345,T1_easiest,False
task360,44,45.0,0.865,0.8,0.242,0.87,19,4.116,-0.84,-0.68,-0.235,0.209,1.049,2.987,0.212,346,T1_easiest,False
task372,44,47.0,0.895,0.853,0.135,0.871,3,3.653,-2.62,-2.251,-0.22,0.198,2.818,2.323,0.24,347,T1_easiest,False
task258,43,61.0,0.91,0.87,0.134,0.888,17,3.725,-2.61,-2.241,-0.335,0.159,2.769,2.383,0.194,348,T1_easiest,False
task061,41,62.0,0.925,0.681,0.347,0.872,4,3.447,-0.485,-0.259,-0.144,0.136,0.621,2.506,0.304,349,T1_easiest,False
task084,43,62.0,0.925,0.909,0.087,0.653,9,2.582,-2.845,-2.483,-1.125,0.107,2.952,1.452,0.206,350,T1_easiest,False
task082,45,50.0,0.862,0.768,0.27,0.888,20,4.276,-1.372,-0.518,-0.141,0.105,1.477,3.111,0.156,351,T1_easiest,False
task038,44,51.0,0.963,0.761,0.264,0.924,13,3.687,-1.229,-0.278,-0.158,0.101,1.33,2.678,0.23,352,T1_easiest,False
task391,42,63.0,0.927,0.856,0.164,0.844,15,3.331,-2.313,-0.808,-0.565,0.06,2.373,2.314,0.166,353,T1_easiest,False
task304,40,92.0,0.95,0.795,0.266,0.865,10,5.048,-0.862,-0.755,-0.495,0.038,0.9,3.68,0.058,354,T1_easiest,False
task393,41,63.0,0.9,0.855,0.162,0.868,16,3.524,-2.284,-0.898,-0.398,0.031,2.315,2.466,0.148,355,T1_easiest,False
task041,44,49.0,0.98,0.84,0.186,0.834,21,3.638,-2.291,-1.133,-0.125,-0.01,2.281,2.548,0.162,356,T1_easiest,False
task045,46,45.0,0.947,0.859,0.195,0.79,13,4.532,-1.428,-1.221,-0.627,-0.017,1.411,3.297,0.06,357,T1_easiest,False
task229,41,73.0,0.986,0.871,0.164,0.815,11,3.907,-2.278,-1.298,-0.643,-0.091,2.187,2.751,0.069,358,T1_easiest,False
task073,44,46.0,0.979,0.828,0.214,0.866,21,3.47,-1.538,-0.6,-0.258,-0.102,1.436,2.515,0.137,359,T1_easiest,False
task231,44,42.0,0.977,0.811,0.204,0.84,1,3.721,-2.26,-0.574,-0.287,-0.12,2.14,2.62,0.107,360,T1_easiest,False
task329,44,54.0,0.991,0.836,0.209,0.907,22,5.711,-2.067,-0.711,-0.326,-0.199,1.868,4.093,0.014,361,T1_easiest,False
task315,42,63.0,0.984,0.922,0.079,0.915,7,4.983,-2.476,-2.103,-0.486,-0.218,2.258,3.451,0.02,362,T1_easiest,False
task003,45,58.0,0.951,0.932,0.059,0.506,11,1.59,-3.317,-2.967,-2.415,-0.22,3.097,0.666,0.139,363,T1_easiest,False
task103,45,29.0,1.0,0.864,0.203,0.77,24,3.87,-1.462,-1.128,-0.558,-0.224,1.238,2.81,0.05,364,T1_easiest,False
task211,42,48.0,0.98,0.904,0.11,0.925,14,4.602,-2.508,-2.136,-0.538,-0.262,2.246,3.127,0.023,365,T1_easiest,False
task327,41,67.0,1.0,0.837,0.229,0.713,24,2.137,-2.681,-0.748,-0.489,-0.265,2.416,1.364,0.211,366,T1_easiest,False
task114,41,64.0,0.985,0.85,0.186,0.81,4,2.793,-2.455,-0.775,-0.549,-0.383,2.072,1.877,0.104,367,T1_easiest,False
task339,43,37.0,1.0,0.979,0.031,0.621,27,3.16,-3.028,-2.671,-2.314,-0.409,2.619,1.527,0.036,368,T1_easiest,False
task326,43,30.0,1.0,0.976,0.03,0.828,26,2.94,-3.071,-2.715,-2.359,-0.411,2.66,1.371,0.043,369,T1_easiest,False
task276,44,37.0,0.974,0.902,0.11,0.833,1,4.275,-2.274,-1.636,-0.749,-0.417,1.857,3.021,0.015,370,T1_easiest,False
task129,43,47.0,0.979,0.961,0.041,0.772,12,3.105,-3.04,-2.683,-2.326,-0.425,2.615,1.486,0.036,371,T1_easiest,False
task312,44,44.0,0.978,0.835,0.24,0.784,9,3.025,-1.075,-0.797,-0.685,-0.474,0.601,2.194,0.069,372,T1_easiest,False
task385,43,25.0,1.0,0.803,0.318,0.774,28,2.642,-1.049,-0.822,-0.702,-0.528,0.521,1.91,0.096,373,T1_easiest,False
task053,45,21.0,1.0,0.913,0.166,0.635,25,3.118,-1.704,-1.474,-1.279,-0.548,1.156,2.233,0.029,374,T1_easiest,False
task142,45,40.0,1.0,0.954,0.067,0.827,29,4.186,-2.595,-2.226,-1.292,-0.557,2.038,2.727,0.008,375,T1_easiest,False
task359,36,64.0,1.0,0.822,0.295,0.645,25,1.451,-1.169,-0.936,-0.72,-0.581,0.588,0.985,0.249,376,T1_easiest,False
task343,37,63.0,0.969,0.796,0.293,0.604,1,1.181,-1.227,-0.986,-0.761,-0.616,0.611,0.759,0.268,377,T1_easiest,False
task152,44,39.0,0.975,0.935,0.066,0.808,1,4.366,-2.572,-2.202,-1.277,-0.641,1.931,2.879,0.004,378,T1_easiest,False
task301,44,31.0,1.0,0.859,0.289,0.632,29,2.721,-1.425,-1.293,-0.786,-0.67,0.755,1.954,0.053,379,T1_easiest,False
task157,37,237.0,0.96,0.89,0.186,0.493,1,1.178,-2.229,-2.0,-1.239,-0.708,1.521,0.664,0.16,380,T1_easiest,False
task113,44,25.0,1.0,0.963,0.067,0.562,31,2.506,-2.929,-2.569,-2.045,-0.724,2.205,1.301,0.03,381,T1_easiest,False
task052,45,40.0,0.976,0.943,0.079,0.762,17,3.0,-2.78,-2.416,-1.292,-0.787,1.993,1.747,0.017,382,T1_easiest,False
task179,44,21.0,1.0,0.925,0.151,0.57,35,2.537,-2.597,-1.457,-1.023,-0.91,1.687,1.635,0.035,383,T1_easiest,False
task032,45,39.0,1.0,0.918,0.181,0.484,36,1.908,-2.45,-1.653,-1.178,-1.054,1.396,1.197,0.061,384,T1_easiest,False
task067,46,33.0,1.0,0.976,0.064,0.516,39,3.095,-2.803,-2.44,-1.506,-1.133,1.67,1.781,0.006,385,T1_easiest,False
task380,44,27.0,1.0,0.951,0.105,0.482,36,1.98,-3.118,-2.764,-1.28,-1.148,1.97,0.981,0.039,386,T1_easiest,False
task001,47,58.0,0.951,0.918,0.085,0.375,3,1.865,-2.99,-2.436,-1.286,-1.158,1.832,0.992,0.047,387,T1_easiest,False
task241,43,21.0,1.0,0.947,0.12,0.523,36,2.357,-2.981,-2.623,-1.31,-1.172,1.809,1.237,0.021,388,T1_easiest,False
task135,45,32.0,1.0,0.974,0.063,0.595,33,3.537,-2.739,-2.374,-1.506,-1.28,1.459,2.122,0.002,389,T1_easiest,False
task083,46,40.0,1.0,0.985,0.048,0.439,40,2.256,-3.084,-2.728,-1.854,-1.587,1.497,1.087,0.009,390,T1_easiest,False
task249,43,26.0,1.0,1.0,0.0,,43,1.757,-4.02,-3.687,-3.353,-3.02,1.0,0.284,0.002,391,T1_easiest,False
task150,44,30.0,1.0,1.0,0.0,,44,1.763,-4.024,-3.69,-3.357,-3.024,1.0,0.283,0.002,394,T1_easiest,False
task155,44,18.0,1.0,1.0,0.0,,44,1.763,-4.024,-3.69,-3.357,-3.024,1.0,0.283,0.002,394,T1_easiest,False
task164,44,32.0,1.0,1.0,0.0,,44,1.763,-4.024,-3.69,-3.357,-3.024,1.0,0.283,0.002,394,T1_easiest,False
task172,44,20.0,1.0,1.0,0.0,,44,1.763,-4.024,-3.69,-3.357,-3.024,1.0,0.283,0.002,394,T1_easiest,False
task210,44,20.0,1.0,1.0,0.0,,44,1.763,-4.024,-3.69,-3.357,-3.024,1.0,0.283,0.002,394,T1_easiest,False
task311,44,32.0,1.0,1.0,0.0,,44,1.763,-4.024,-3.69,-3.357,-3.024,1.0,0.283,0.002,394,T1_easiest,False
task116,44,20.0,1.0,0.999,0.007,0.059,43,1.767,-4.033,-3.7,-3.367,-3.034,0.999,0.279,0.002,398,T1_easiest,False
